,RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score
0,1.0,1.0,Massachusetts Institute of Technology (MIT) ,United States,Americas,M,CO,VH,B,100.0,4,100.0,2,100.0,11,100.0,9,99.3,100.0,86.8,143.0,96.0,58.0,100.0,8,99.0,15.0,100.0
1,2.0,6.0,Imperial College London,United Kingdom,Europe,L,FC,VH,A,98.5,22,99.5,11,98.2,45,93.9,54,100.0,66.0,99.6,44.0,97.4,34.0,93.4,61,99.7,6.0,98.5
2,3.0,3.0,University of Oxford,United Kingdom,Europe,L,FC,VH,A,100.0,2,100.0,5,100.0,8,84.8,93,98.1,120.0,97.7,73.0,100.0,1.0,100.0,3,85.0,126.0,96.9
3,4.0,4.0,Harvard University,United States,Americas,L,FC,VH,B,100.0,1,100.0,1,96.3,53,100.0,1,74.1,269.0,69.0,215.0,99.6,5.0,100.0,1,84.4,130.0,96.8
4,5.0,2.0,University of Cambridge,United Kingdom,Europe,L,FC,VH,A,100.0,3,100.0,4,100.0,17,84.6,96,100.0,73.0,94.8,98.0,99.3,10.0,100.0,5,84.8,127.0,96.7
5,6.0,5.0,Stanford University,United States,Americas,L,FC,VH,B,100.0,5,100.0,3,100.0,12,99.0,27,70.3,284.0,60.8,244.0,96.8,45.0,100.0,2,81.2,148.0,96.1
6,7.0,7.0,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Europe,L,FO,VH,A,98.8,19,87.2,57,65.9,199,97.9,35,100.0,25.0,98.6,63.0,95.7,64.0,90.5,73,98.8,18.0,93.9
7,8.0,8.0,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,A,99.5,15,91.1,48,68.8,189,93.1,61,100.0,41.0,88.9,129.0,91.6,146.0,100.0,6,97.7,26.0,93.7
8,9.0,9.0,UCL,United Kingdom,Europe,XL,FC,VH,A,99.5,14,98.3,18,95.9,56,72.2,145,99.0,106.0,100.0,21.0,99.9,2.0,70.3,157,74.8,190.0,91.6
9,10.0,15.0,California Institute of Technology (Caltech),United States,Americas,S,CO,VH,B,96.5,29,95.3,33,100.0,4,100.0,5,100.0,65.0,79.8,172.0,65.5,549.0,31.0,407,62.5,253.0,90.9
10,11.0,12.0,University of Pennsylvania,United States,Americas,L,FC,VH,B,96.3,31,91.9,45,99.8,28,74.0,138,90.9,188.0,66.2,226.0,91.9,137.0,100.0,7,93.0,71.0,90.3
11,12.0,10.0,"University of California, Berkeley (UCB)",United States,Americas,XL,FC,VH,A,100.0,6,100.0,6,23.5,615,98.2,33,91.5,182.0,61.0,242.0,97.2,39.0,98.4,23,100.0,2.0,90.1
12,13.0,14.0,The University of Melbourne,Australia,Oceania,XL,FC,VH,A,98.5,21,93.9,39,15.4,701,93.0,62,95.1,148.0,99.8,39.0,97.4,33.0,96.5,39,99.6,9.0,88.9
13,14.0,17.0,Peking University,China (Mainland),Asia,XL,FC,VH,A,99.5,13,96.6,28,92.6,75,97.7,40,50.3,365.0,23.6,497.0,79.8,329.0,94.2,56,46.9,330.0,88.5
14,15.0,26.0,"Nanyang Technological University, Singapore (NTU)",Singapore,Asia,L,FC,VH,A,91.9,42,73.3,92,80.6,130,92.4,66,100.0,42.0,83.5,160.0,89.4,178.0,83.9,104,95.6,50.0,88.4
15,16.0,13.0,Cornell University,United States,Americas,L,FC,VH,B,98.3,25,93.1,42,52.7,289,97.5,43,54.2,347.0,63.4,237.0,94.0,99.0,97.1,34,72.1,208.0,87.9
16,17.0,26.0,The University of Hong Kong,Hong Kong SAR,Asia,L,FC,VH,A,97.4,27,59.4,135,81.2,124,86.4,89,100.0,33.0,99.3,52.0,81.4,300.0,99.7,14,89.2,101.0,87.6
17,18.0,19.0,The University of Sydney,Australia,Oceania,XL,FC,VH,A,96.4,30,90.0,51,10.9,701,93.7,56,99.9,87.0,100.0,17.0,95.8,61.0,93.1,63,99.6,7.0,87.3
18,19.0,19.0,The University of New South Wales (UNSW Sydney),Australia,Oceania,XL,FC,VH,A,90.5,43,90.4,50,20.6,660,94.9,49,100.0,57.0,99.4,48.0,98.3,20.0,97.7,29,99.2,11.0,87.1
19,20.0,25.0,Tsinghua University,China (Mainland),Asia,XL,FC,VH,A,99.2,16,97.7,22,95.0,62,99.1,26,18.1,623.0,13.4,654.0,79.2,337.0,92.3,68,40.4,363.0,86.5
20,21.0,11.0,University of Chicago,United States,Americas,L,FC,VH,B,99.1,17,96.4,29,94.2,69,60.8,197,79.0,244.0,87.0,140.0,85.1,245.0,99.1,16,46.9,330.0,86.2
21,22.0,17.0,Princeton University,United States,Americas,M,CO,VH,B,99.8,10,98.3,19,57.0,258,100.0,3,9.6,701.0,56.6,264.0,78.3,354.0,95.7,48,51.5,312.0,85.5
22,23.0,16.0,Yale University,United States,Americas,L,FC,VH,B,99.9,9,99.9,7,100.0,3,38.6,363,91.5,181.0,63.3,238.0,93.9,100.0,98.5,21,92.2,76.0,85.2
23,24.0,24.0,Université PSL,France,Europe,L,CO,VH,A,74.4,81,97.6,23,98.1,46,87.6,85,62.3,315.0,65.0,230.0,99.8,3.0,97.1,33,73.4,197.0,84.7
24,25.0,21.0,University of Toronto,Canada,Americas,XL,FC,VH,A,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132.0,96.1,90.0,97.7,29.0,98.7,19,100.0,1.0,84.1
25,26.0,36.0,EPFL,Switzerland,Europe,M,FO,VH,A,84.2,56,67.2,111,91.2,80,93.6,57,100.0,28.0,100.0,14.0,81.7,291.0,27.2,440,86.7,114.0,83.5
26,27.0,22.0,The University of Edinburgh,United Kingdom,Europe,XL,FC,VH,A,98.3,24,97.2,24,65.5,201,47.7,282,98.7,111.0,99.8,41.0,99.5,7.0,55.9,222,99.0,15.0,83.3
27,28.0,37.0,Technical University of Munich,Germany,Europe,XL,FO,VH,A,83.0,61,98.6,17,76.8,155,75.9,133,80.4,236.0,98.6,64.0,95.6,68.0,34.5,365,93.1,70.0,83.2
28,29.0,30.0,McGill University,Canada,Americas,L,FC,VH,A,94.3,34,87.6,56,62.3,224,57.9,212,83.7,225.0,89.6,124.0,94.2,94.0,98.3,24,99.1,13.0,83.0
29,30.0,34.0,The Australian National University,Australia,Oceania,L,FC,VH,A,93.8,36,75.4,85,34.6,457,84.6,97,100.0,52.0,96.2,89.0,91.4,151.0,56.6,216,97.1,30.0,82.4
30,31.0,41.0,Seoul National University,South Korea,Asia,L,FC,VH,A,98.5,20,98.6,16,83.1,117,71.7,151,10.5,701.0,16.9,586.0,73.2,435.0,100.0,4,96.0,46.0,82.3
31,32.0,28.0,Johns Hopkins University,United States,Americas,L,FC,VH,B,86.0,53,62.6,129,100.0,7,84.2,99,63.7,307.0,95.8,92.0,98.7,15.0,71.5,152,61.9,258.0,82.1
32,32.0,28.0,The University of Tokyo,Japan,Asia,L,FC,VH,A,100.0,7,99.8,9,89.3,89,57.3,215,10.1,701.0,29.7,432.0,87.4,207.0,99.9,10,98.3,22.0,82.1
33,34.0,23.0,Columbia University,United States,Americas,XL,FC,VH,B,99.6,12,98.8,15,100.0,16,31.7,417,41.5,413.0,97.0,79.0,98.5,19.0,99.9,9,71.8,211.0,82.0
34,34.0,32.0,The University of Manchester,United Kingdom,Europe,XL,FC,VH,A,95.6,33,98.1,20,51.3,297,45.1,307,93.1,169.0,99.2,55.0,99.2,12.0,87.6,90,99.8,3.0,82.0
35,36.0,47.0,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Asia,L,FC,VH,A,86.7,51,53.3,159,64.2,212,92.9,64,100.0,58.0,87.5,137.0,74.2,419.0,89.0,82,86.7,114.0,81.3
36,37.0,42.0,Monash University,Australia,Oceania,XL,FC,VH,A,89.2,47,79.6,78,9.4,701,87.6,84,100.0,59.0,100.0,24.0,94.8,81.0,79.4,126,98.2,23.0,81.2
37,38.0,34.0,University of British Columbia,Canada,Americas,XL,FC,VH,A,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142.0,72.8,200.0,96.2,53.0,74.6,141,99.8,4.0,81.0
38,39.0,50.0,Fudan University,China (Mainland),Asia,XL,FC,VH,A,85.7,54,87.8,55,79.7,140,80.7,107,88.4,201.0,35.1,390.0,67.2,519.0,64.4,183,82.7,142.0,80.3
39,40.0,40.0,King's College London,United Kingdom,Europe,XL,FC,VH,A,90.3,44,85.7,64,64.3,210,53.6,238,99.1,103.0,99.5,47.0,98.6,17.0,59.8,205,96.2,44.0,80.2
40,40.0,43.0,The University of Queensland,Australia,Oceania,XL,FC,VH,A,86.7,50,74.0,89,21.2,653,90.2,75,100.0,54.0,100.0,23.0,96.7,47.0,56.7,214,96.7,36.0,80.2
41,42.0,29.0,"University of California, Los Angeles (UCLA)",United States,Americas,XL,FC,VH,A,100.0,8,99.8,8,35.4,448,74.0,137,42.2,407.0,22.3,515.0,95.5,69.0,94.7,53,67.1,232.0,79.8
42,43.0,38.0,New York University (NYU),United States,Americas,XL,FC,VH,B,96.3,32,98.8,14,90.5,83,28.6,453,30.2,492.0,98.1,68.0,92.6,126.0,98.4,22,95.4,55.0,79.6
43,44.0,33.0,University of Michigan-Ann Arbor,United States,Americas,XL,FC,VH,A,97.9,26,92.1,43,80.3,133,47.6,284,65.5,299.0,39.2,359.0,95.8,63.0,94.5,55,62.2,254.0,79.0
44,45.0,51.0,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,A,84.0,57,86.3,62,58.6,251,99.6,17,23.1,558.0,19.6,553.0,73.7,424.0,73.5,144,80.3,154.0,77.8
45,46.0,38.0,Institut Polytechnique de Paris,France,Europe,M,CO,VH,A,44.7,189,99.6,10,95.9,55,86.1,92,99.1,104.0,98.0,71.0,89.6,173.0,97.7,31,54.8,289.0,77.5
46,47.0,60.0,The Hong Kong University of Science and Technology,Hong Kong SAR,Asia,M,FO,VH,A,81.1,68,50.3,179,56.7,261,99.7,16,100.0,22.0,95.4,94.0,46.7,701.0,65.4,180,77.6,170.0,77.1
47,47.0,44.0,Zhejiang University,China (Mainland),Asia,XL,FC,VH,A,75.3,79,95.4,32,54.7,277,99.5,19,95.0,149.0,15.9,608.0,91.8,138.0,55.5,224,30.7,440.0,77.1
48,49.0,47.0,Delft University of Technology,Netherlands,Europe,L,CO,VH,A,74.4,82,83.0,66,39.4,396,79.7,110,100.0,69.0,91.4,117.0,93.7,105.0,54.8,227,99.1,14.0,77.0
49,50.0,46.0,Kyoto University,Japan,Asia,L,FC,VH,A,98.8,18,99.0,13,94.2,68,39.3,357,15.9,653.0,19.0,566.0,85.7,236.0,72.8,147,85.2,124.0,76.0
50,50.0,47.0,Northwestern University,United States,Americas,L,FC,VH,B,84.0,58,68.0,107,97.6,48,67.7,161,45.4,393.0,52.0,283.0,89.4,179.0,96.8,37,55.4,285.0,76.0
51,50.0,45.0,The London School of Economics and Political Science (LSE),United Kingdom,Europe,L,SP,VH,A,67.2,101,97.0,26,35.1,452,69.4,158,100.0,40.0,100.0,12.0,81.2,305.0,99.6,15,91.3,85.0,76.0
52,53.0,56.0,KAIST - Korea Advanced Institute of Science & Technology,South Korea,Asia,M,CO,VH,A,87.7,48,91.0,49,60.2,238,96.2,46,21.1,587.0,10.9,701.0,46.8,701.0,63.3,187,60.3,268.0,75.7
53,54.0,55.0,University of Bristol,United Kingdom,Europe,L,FC,VH,A,75.8,78,82.5,69,36.7,437,75.9,134,87.5,206.0,89.8,121.0,94.6,84.0,51.2,250,98.9,17.0,75.4
54,55.0,53.0,University of Amsterdam,Netherlands,Europe,XL,FC,VH,A,83.8,60,52.1,163,21.4,648,92.2,67,96.0,139.0,87.5,138.0,96.3,50.0,79.8,124,38.2,384.0,73.7
55,56.0,76.0,Yonsei University,South Korea,Asia,L,FC,VH,B,81.5,67,97.0,25,84.2,112,44.1,312,20.7,590.0,51.2,287.0,78.7,343.0,87.8,88,88.9,103.0,72.9
56,57.0,65.0,The Hong Kong Polytechnic University,Hong Kong SAR,Asia,L,CO,VH,A,68.0,99,35.6,265,65.0,204,94.9,51,100.0,39.0,91.9,110.0,78.9,338.0,64.5,181,77.4,173.0,72.1
57,58.0,52.0,Carnegie Mellon University,United States,Americas,L,FC,VH,B,69.8,92,80.1,75,40.9,383,98.9,28,33.7,472.0,99.1,58.0,79.9,324.0,61.5,196,24.5,492.0,72.0
58,59.0,54.0,Ludwig-Maximilians-Universität München,Germany,Europe,XL,FC,VH,A,92.2,41,86.6,59,38.5,410,50.0,262,75.1,262.0,37.6,374.0,95.5,71.0,66.9,173,62.2,254.0,71.6
59,60.0,65.0,Universiti Malaya (UM),Malaysia,Asia,L,FC,VH,A,82.9,62,95.1,34,75.7,163,29.1,447,60.2,324.0,64.2,234.0,91.8,140.0,69.3,163,83.6,132.0,71.2
60,61.0,57.0,Duke University,United States,Americas,L,FC,VH,B,86.0,52,74.7,86,100.0,6,35.1,382,16.3,647.0,61.0,243.0,93.3,111.0,85.5,99,75.0,186.0,70.8
61,62.0,70.0,City University of Hong Kong,Hong Kong SAR,Asia,M,CO,VH,A,60.9,120,30.8,305,89.5,88,100.0,6,100.0,13.0,100.0,7.0,62.9,588.0,37.5,342,72.9,201.0,70.7
62,63.0,61.0,KU Leuven,Belgium,Europe,XL,FC,VH,A,84.6,55,49.6,181,7.1,701,91.0,72,93.8,163.0,47.7,305.0,99.5,8.0,75.3,139,51.2,313.0,70.3
63,63.0,59.0,Sorbonne University,France,Europe,XL,FC,VH,A,87.2,49,52.0,166,43.0,363,72.3,144,33.8,471.0,46.7,315.0,99.8,4.0,79.7,125,87.6,111.0,70.3
64,65.0,68.0,The University of Auckland,New Zealand,Oceania,XL,FC,VH,A,82.2,65,44.7,205,15.5,701,66.9,166,100.0,76.0,84.0,156.0,87.4,206.0,92.9,64,99.7,5.0,69.7
65,66.0,58.0,University of Texas at Austin,United States,Americas,XL,FC,VH,A,93.5,38,86.6,60,8.1,701,76.7,128,6.1,701.0,11.7,685.0,91.7,144.0,81.7,113,52.1,305.0,69.5
66,67.0,79.0,Korea University,South Korea,Asia,L,FC,VH,B,78.2,72,93.8,40,73.0,178,45.0,308,15.2,665.0,45.7,321.0,65.7,547.0,89.0,81,85.2,124.0,69.0
67,68.0,69.0,National Taiwan University (NTU),Taiwan,Asia,XL,FC,VH,A,93.4,39,92.1,44,25.5,583,44.3,310,16.7,644.0,27.4,451.0,71.5,459.0,99.9,11,90.0,94.0,68.7
68,69.0,67.0,The University of Warwick,United Kingdom,Europe,L,FC,VH,A,72.2,86,86.4,61,35.5,445,37.7,367,98.1,119.0,99.1,57.0,94.2,92.0,65.7,175,89.7,98.0,68.2
69,69.0,64.0,University of Illinois at Urbana-Champaign,United States,Americas,XL,FC,VH,A,83.9,59,75.7,84,6.4,701,77.5,124,14.0,686.0,56.3,266.0,90.4,165.0,81.7,114,65.0,241.0,68.2
70,71.0,95.0,Universidad de Buenos Aires (UBA),Argentina,Americas,XL,FC,VH,A,94.1,35,94.1,38,71.7,183,1.6,701,63.9,305.0,64.6,232.0,73.4,430.0,99.8,13,51.8,310.0,67.6
71,72.0,62.0,"University of California, San Diego (UCSD)",United States,Americas,XL,FC,VH,A,89.3,45,57.8,140,50.8,304,67.0,165,54.6,342.0,44.3,328.0,95.5,70.0,21.7,525,44.3,348.0,67.1
